"","CODE_CIRCO","NOM.x","PRENOM.x","CIVILITE.x","CODE_NUANCE","SCORE_2024","NOM.y","PRENOM.y","CIVILITE.y","SCORE_2022","DIFF_2024_2022","FLOURISH_CODE_CIRCO","circo_name","classe","classe_num","colour_categ","changement","text_color","popup_html"
"11","0302","DUGLÉRY","Daniel","M.","LR",22.93,"KEGELART","Jean-Jacques","M.",11.19,11.74,"0302","2e circonscription de l'Allier","Plus de 10 %",6,"#053061","une augmentation de","white","Entre 2022 et 2024, le taux est passé de 11,19% à 22,93%, soit une augmentation de<span style='background: #053061; display: inline-block; padding: 2px; padding-bottom:0; color:white'> 11,74 points.</span>"
"12","0303","MAQUIN","Gabriel","M.","LR",19.77,"RAY","Nicolas","M.",24.22,-4.45,"0303","3e circonscription de l'Allier","Entre -5 et 0 %",3,"#f4a582","une baisse de ","black","Entre 2022 et 2024, le taux est passé de 24,22% à 19,77%, soit une baisse de <span style='background: #f4a582; display: inline-block; padding: 2px; padding-bottom:0; color:black'> -4,45 points.</span>"
"13","0501","ASSO","Catherine","Mme","LR",14.09,"PARA","Kevin","M.",12.56,1.53,"0501","1ère circonscription des Hautes-Alpes","Entre 0 et 5 %",4,"#92c5de","une augmentation de","black","Entre 2022 et 2024, le taux est passé de 12,56% à 14,09%, soit une augmentation de<span style='background: #92c5de; display: inline-block; padding: 2px; padding-bottom:0; color:black'>  1,53 points.</span>"
"14","0601","CIOTTI","Eric","M.","LR",35,"CIOTTI","Eric","M.",31.7,3.3,"0601","1ère circonscription des Alpes-Maritimes","Entre 0 et 5 %",4,"#92c5de","une augmentation de","black","Entre 2022 et 2024, le taux est passé de 31,70% à 35,00%, soit une augmentation de<span style='background: #92c5de; display: inline-block; padding: 2px; padding-bottom:0; color:black'>  3,30 points.</span>"
"15","0604","BECK","Xavier","M.","LR",20.64,"ROUX","Roger","M.",14.52,6.12,"0604","4e circonscription des Alpes-Maritimes","Entre 5 et 10 %",5,"#4393c3","une augmentation de","black","Entre 2022 et 2024, le taux est passé de 14,52% à 20,64%, soit une augmentation de<span style='background: #4393c3; display: inline-block; padding: 2px; padding-bottom:0; color:black'>  6,12 points.</span>"
"16","0605","BRENIER","Marine","Mme","LR",28.97,"D'INTORNI","Christelle","Mme",22.48,6.49,"0605","5e circonscription des Alpes-Maritimes","Entre 5 et 10 %",5,"#4393c3","une augmentation de","black","Entre 2022 et 2024, le taux est passé de 22,48% à 28,97%, soit une augmentation de<span style='background: #4393c3; display: inline-block; padding: 2px; padding-bottom:0; color:black'>  6,49 points.</span>"
"17","0606","TRASTOUR-ISNART","Laurence","Mme","LR",27.45,"TRASTOUR-ISNART","Laurence","Mme",20.18,7.27,"0606","6e circonscription des Alpes-Maritimes","Entre 5 et 10 %",5,"#4393c3","une augmentation de","black","Entre 2022 et 2024, le taux est passé de 20,18% à 27,45%, soit une augmentation de<span style='background: #4393c3; display: inline-block; padding: 2px; padding-bottom:0; color:black'>  7,27 points.</span>"
"18","0607","PAUGET","Eric","M.","LR",32.2,"PAUGET","Eric","M.",26.46,5.74,"0607","7e circonscription des Alpes-Maritimes","Entre 5 et 10 %",5,"#4393c3","une augmentation de","black","Entre 2022 et 2024, le taux est passé de 26,46% à 32,20%, soit une augmentation de<span style='background: #4393c3; display: inline-block; padding: 2px; padding-bottom:0; color:black'>  5,74 points.</span>"
"19","0608","BROCHAND","Bernard","M.","LR",30.43,"MARTIN","Alexandra","Mme",33.4,-2.97,"0608","8e circonscription des Alpes-Maritimes","Entre -5 et 0 %",3,"#f4a582","une baisse de ","black","Entre 2022 et 2024, le taux est passé de 33,40% à 30,43%, soit une baisse de <span style='background: #f4a582; display: inline-block; padding: 2px; padding-bottom:0; color:black'> -2,97 points.</span>"
"20","0609","TABAROT","Michèle","Mme","LR",29.25,"TABAROT","Michèle","Mme",28.94,0.309999999999999,"0609","9e circonscription des Alpes-Maritimes","Entre 0 et 5 %",4,"#92c5de","une augmentation de","black","Entre 2022 et 2024, le taux est passé de 28,94% à 29,25%, soit une augmentation de<span style='background: #92c5de; display: inline-block; padding: 2px; padding-bottom:0; color:black'>  0,31 points.</span>"
"21","0702","QUENETTE","Marc-Antoine","M.","LR",13.44,"QUENETTE","Marc-Antoine","M.",17.89,-4.45,"0702","2e circonscription de l'Ardèche","Entre -5 et 0 %",3,"#f4a582","une baisse de ","black","Entre 2022 et 2024, le taux est passé de 17,89% à 13,44%, soit une baisse de <span style='background: #f4a582; display: inline-block; padding: 2px; padding-bottom:0; color:black'> -4,45 points.</span>"
"22","0703","BRUN","Fabrice","M.","LR",19.55,"BRUN","Fabrice","M.",24.96,-5.41,"0703","3e circonscription de l'Ardèche","Entre -10 et -5 %",2,"#d6604d","une baisse de ","black","Entre 2022 et 2024, le taux est passé de 24,96% à 19,55%, soit une baisse de <span style='background: #d6604d; display: inline-block; padding: 2px; padding-bottom:0; color:black'> -5,41 points.</span>"
"23","0801","POLETTI","Bérengère","Mme","LR",37.79,"MARECHAL","Guillaume","M.",19.66,18.13,"0801","1ère circonscription des Ardennes","Plus de 10 %",6,"#053061","une augmentation de","white","Entre 2022 et 2024, le taux est passé de 19,66% à 37,79%, soit une augmentation de<span style='background: #053061; display: inline-block; padding: 2px; padding-bottom:0; color:white'> 18,13 points.</span>"
"24","0802","CORDIER","Pierre","M.","LR",25.86,"CORDIER","Pierre","M.",40.98,-15.12,"0802","2e circonscription des Ardennes","Moins de -10 %",1,"#67001f","une baisse de ","white","Entre 2022 et 2024, le taux est passé de 40,98% à 25,86%, soit une baisse de <span style='background: #67001f; display: inline-block; padding: 2px; padding-bottom:0; color:white'>-15,12 points.</span>"
"25","1001","DHUICQ","Nicolas","M.","LR",25.69,"FRAENKEL","Stéphanie","Mme",16.21,9.48,"1001","1ère circonscription de l'Aube","Entre 5 et 10 %",5,"#4393c3","une augmentation de","black","Entre 2022 et 2024, le taux est passé de 16,21% à 25,69%, soit une augmentation de<span style='background: #4393c3; display: inline-block; padding: 2px; padding-bottom:0; color:black'>  9,48 points.</span>"
"26","1002","BAZIN-MALGRAS","Valérie","Mme","LR",24.19,"BAZIN-MALGRAS","Valérie","Mme",28.57,-4.38,"1002","2e circonscription de l'Aube","Entre -5 et 0 %",3,"#f4a582","une baisse de ","black","Entre 2022 et 2024, le taux est passé de 28,57% à 24,19%, soit une baisse de <span style='background: #f4a582; display: inline-block; padding: 2px; padding-bottom:0; color:black'> -4,38 points.</span>"
"27","1003","MENUEL","Gérard","M.","LR",23.45,"GATOUILLAT","Baptiste","M.",14.85,8.6,"1003","3e circonscription de l'Aube","Entre 5 et 10 %",5,"#4393c3","une augmentation de","black","Entre 2022 et 2024, le taux est passé de 14,85% à 23,45%, soit une augmentation de<span style='background: #4393c3; display: inline-block; padding: 2px; padding-bottom:0; color:black'>  8,60 points.</span>"
"28","1101","DE LORGERIL","Miren","Mme","LR",9.6,"PEREZ","Laurent","M.",5.17,4.43,"1101","1ère circonscription de l'Aude","Entre 0 et 5 %",4,"#92c5de","une augmentation de","black","Entre 2022 et 2024, le taux est passé de  5,17% à  9,60%, soit une augmentation de<span style='background: #92c5de; display: inline-block; padding: 2px; padding-bottom:0; color:black'>  4,43 points.</span>"
"29","1102","PY","Michel","M.","LR",15.94,"ESTRADE","Quentin","M.",8.43,7.51,"1102","2e circonscription de l'Aude","Entre 5 et 10 %",5,"#4393c3","une augmentation de","black","Entre 2022 et 2024, le taux est passé de  8,43% à 15,94%, soit une augmentation de<span style='background: #4393c3; display: inline-block; padding: 2px; padding-bottom:0; color:black'>  7,51 points.</span>"
"30","1201","CENSI","Yves","M.","LR",22.83,"BESSAOU","Magali","Mme",13.13,9.7,"1201","1ère circonscription de l'Aveyron","Entre 5 et 10 %",5,"#4393c3","une augmentation de","black","Entre 2022 et 2024, le taux est passé de 13,13% à 22,83%, soit une augmentation de<span style='background: #4393c3; display: inline-block; padding: 2px; padding-bottom:0; color:black'>  9,70 points.</span>"
"31","1202","AT","André","M.","LR",20.18,"AT","André","M.",15.58,4.6,"1202","2e circonscription de l'Aveyron","Entre 0 et 5 %",4,"#92c5de","une augmentation de","black","Entre 2022 et 2024, le taux est passé de 15,58% à 20,18%, soit une augmentation de<span style='background: #92c5de; display: inline-block; padding: 2px; padding-bottom:0; color:black'>  4,60 points.</span>"
"32","1203","VIALA","Arnaud","M.","LR",36.02,"SAINT-PIERRE","Christophe","M.",17.6,18.42,"1203","3e circonscription de l'Aveyron","Plus de 10 %",6,"#053061","une augmentation de","white","Entre 2022 et 2024, le taux est passé de 17,60% à 36,02%, soit une augmentation de<span style='background: #053061; display: inline-block; padding: 2px; padding-bottom:0; color:white'> 18,42 points.</span>"
"33","1301","BOYER","Valérie","Mme","LR",24.68,"BOUALEM-AUBERT","Sarah","Mme",6.68,18,"1301","1ère circonscription des Bouches-du-Rhône","Plus de 10 %",6,"#053061","une augmentation de","white","Entre 2022 et 2024, le taux est passé de  6,68% à 24,68%, soit une augmentation de<span style='background: #053061; display: inline-block; padding: 2px; padding-bottom:0; color:white'> 18,00 points.</span>"
"34","1302","TIAN","Dominique","M.","LR",25.22,"BERNASCONI","Sabine","Mme",13.06,12.16,"1302","2e circonscription des Bouches-du-Rhône","Plus de 10 %",6,"#053061","une augmentation de","white","Entre 2022 et 2024, le taux est passé de 13,06% à 25,22%, soit une augmentation de<span style='background: #053061; display: inline-block; padding: 2px; padding-bottom:0; color:white'> 12,16 points.</span>"
"35","1303","MIRON","Richard","M.","LR",12.91,"PAPPALARDO","Patrick","M.",3.59,9.32,"1303","3e circonscription des Bouches-du-Rhône","Entre 5 et 10 %",5,"#4393c3","une augmentation de","black","Entre 2022 et 2024, le taux est passé de  3,59% à 12,91%, soit une augmentation de<span style='background: #4393c3; display: inline-block; padding: 2px; padding-bottom:0; color:black'>  9,32 points.</span>"
"36","1304","BIAGGI","Solange","Mme","LR",10.63,"BIAGGI","Solange","Mme",4.75,5.88,"1304","4e circonscription des Bouches-du-Rhône","Entre 5 et 10 %",5,"#4393c3","une augmentation de","black","Entre 2022 et 2024, le taux est passé de  4,75% à 10,63%, soit une augmentation de<span style='background: #4393c3; display: inline-block; padding: 2px; padding-bottom:0; color:black'>  5,88 points.</span>"
"37","1305","MORAINE","Yves","M.","LR",18.85,"ANTOINE","Maryline","Mme",4.02,14.83,"1305","5e circonscription des Bouches-du-Rhône","Plus de 10 %",6,"#053061","une augmentation de","white","Entre 2022 et 2024, le taux est passé de  4,02% à 18,85%, soit une augmentation de<span style='background: #053061; display: inline-block; padding: 2px; padding-bottom:0; color:white'> 14,83 points.</span>"
"38","1306","TEISSIER","Guy","M.","LR",25.7,"REAULT","Didier","M.",8.39,17.31,"1306","6e circonscription des Bouches-du-Rhône","Plus de 10 %",6,"#053061","une augmentation de","white","Entre 2022 et 2024, le taux est passé de  8,39% à 25,70%, soit une augmentation de<span style='background: #053061; display: inline-block; padding: 2px; padding-bottom:0; color:white'> 17,31 points.</span>"
"39","1308","DALBIN","Sandra","Mme","LR",15.26,"YTIER","David","M.",14.93,0.33,"1308","8e circonscription des Bouches-du-Rhône","Entre 0 et 5 %",4,"#92c5de","une augmentation de","black","Entre 2022 et 2024, le taux est passé de 14,93% à 15,26%, soit une augmentation de<span style='background: #92c5de; display: inline-block; padding: 2px; padding-bottom:0; color:black'>  0,33 points.</span>"
"40","1309","DEFLESSELLES","Bernard","M.","LR",23.77,"GIBERTI","Roland","M.",15.57,8.2,"1309","9e circonscription des Bouches-du-Rhône","Entre 5 et 10 %",5,"#4393c3","une augmentation de","black","Entre 2022 et 2024, le taux est passé de 15,57% à 23,77%, soit une augmentation de<span style='background: #4393c3; display: inline-block; padding: 2px; padding-bottom:0; color:black'>  8,20 points.</span>"
"41","1312","DIARD","Eric","M.","LR",24.65,"DIARD","Eric","M.",29.78,-5.13,"1312","12e circonscription des Bouches-du-Rhône","Entre -10 et -5 %",2,"#d6604d","une baisse de ","black","Entre 2022 et 2024, le taux est passé de 29,78% à 24,65%, soit une baisse de <span style='background: #d6604d; display: inline-block; padding: 2px; padding-bottom:0; color:black'> -5,13 points.</span>"
"42","1313","DI MARIA","Jean-Luc","M.","LR",8.76,"ROUBY","Isabelle","Mme",3.01,5.75,"1313","13e circonscription des Bouches-du-Rhône","Entre 5 et 10 %",5,"#4393c3","une augmentation de","black","Entre 2022 et 2024, le taux est passé de  3,01% à  8,76%, soit une augmentation de<span style='background: #4393c3; display: inline-block; padding: 2px; padding-bottom:0; color:black'>  5,75 points.</span>"
"43","1314","PAOLI","Stéphane","M.","LR",16.81,"BOULAN","Michel","M.",12.08,4.73,"1314","14e circonscription des Bouches-du-Rhône","Entre 0 et 5 %",4,"#92c5de","une augmentation de","black","Entre 2022 et 2024, le taux est passé de 12,08% à 16,81%, soit une augmentation de<span style='background: #92c5de; display: inline-block; padding: 2px; padding-bottom:0; color:black'>  4,73 points.</span>"
"44","1315","REYNÈS","Bernard","M.","LR",26.02,"REYNÈS","Bernard","M.",14.42,11.6,"1315","15e circonscription des Bouches-du-Rhône","Plus de 10 %",6,"#053061","une augmentation de","white","Entre 2022 et 2024, le taux est passé de 14,42% à 26,02%, soit une augmentation de<span style='background: #053061; display: inline-block; padding: 2px; padding-bottom:0; color:white'> 11,60 points.</span>"
"45","1402","RENOUF","Aminthe","Mme","LR",9.93,"BROU","Camille","Mme",7.33,2.6,"1402","2e circonscription du Calvados","Entre 0 et 5 %",4,"#92c5de","une augmentation de","black","Entre 2022 et 2024, le taux est passé de  7,33% à  9,93%, soit une augmentation de<span style='background: #92c5de; display: inline-block; padding: 2px; padding-bottom:0; color:black'>  2,60 points.</span>"
"46","1403","LECLERC","Sébastien","M.","LR",20.79,"PORTE","Nathalie","Mme",21.84,-1.05,"1403","3e circonscription du Calvados","Entre -5 et 0 %",3,"#f4a582","une baisse de ","black","Entre 2022 et 2024, le taux est passé de 21,84% à 20,79%, soit une baisse de <span style='background: #f4a582; display: inline-block; padding: 2px; padding-bottom:0; color:black'> -1,05 points.</span>"
"47","1404","AMELINE","Nicole","Mme","LR",23.8,"GAUGAIN","Sophie","Mme",12.56,11.24,"1404","4e circonscription du Calvados","Plus de 10 %",6,"#053061","une augmentation de","white","Entre 2022 et 2024, le taux est passé de 12,56% à 23,80%, soit une augmentation de<span style='background: #053061; display: inline-block; padding: 2px; padding-bottom:0; color:white'> 11,24 points.</span>"
"48","1405","NOUVELOT","Cédric","M.","LR",23.15,"NOUVELOT","Cédric","M.",17.99,5.16,"1405","5e circonscription du Calvados","Entre 5 et 10 %",5,"#4393c3","une augmentation de","black","Entre 2022 et 2024, le taux est passé de 17,99% à 23,15%, soit une augmentation de<span style='background: #4393c3; display: inline-block; padding: 2px; padding-bottom:0; color:black'>  5,16 points.</span>"
"49","1501","DESCOEUR","Vincent","M.","LR",32.97,"DESCOEUR","Vincent","M.",40.33,-7.36,"1501","1ère circonscription du Cantal","Entre -10 et -5 %",2,"#d6604d","une baisse de ","black","Entre 2022 et 2024, le taux est passé de 40,33% à 32,97%, soit une baisse de <span style='background: #d6604d; display: inline-block; padding: 2px; padding-bottom:0; color:black'> -7,36 points.</span>"
"50","1502","BONY","Jean-Yves","M.","LR",31.95,"BONY","Jean-Yves","M.",37.71,-5.76,"1502","2e circonscription du Cantal","Entre -10 et -5 %",2,"#d6604d","une baisse de ","black","Entre 2022 et 2024, le taux est passé de 37,71% à 31,95%, soit une baisse de <span style='background: #d6604d; display: inline-block; padding: 2px; padding-bottom:0; color:black'> -5,76 points.</span>"
"51","1601","VOUVET","Elise","Mme","LR",11.44,"CLERGEAU","Alice","Mme",5.24,6.2,"1601","1ère circonscription de la Charente","Entre 5 et 10 %",5,"#4393c3","une augmentation de","black","Entre 2022 et 2024, le taux est passé de  5,24% à 11,44%, soit une augmentation de<span style='background: #4393c3; display: inline-block; padding: 2px; padding-bottom:0; color:black'>  6,20 points.</span>"
"52","1602","SAUVAITRE","Daniel","M.","LR",16.21,"LELIÈVRE","Jean-Hubert","M.",12.24,3.97,"1602","2e circonscription de la Charente","Entre 0 et 5 %",4,"#92c5de","une augmentation de","black","Entre 2022 et 2024, le taux est passé de 12,24% à 16,21%, soit une augmentation de<span style='background: #92c5de; display: inline-block; padding: 2px; padding-bottom:0; color:black'>  3,97 points.</span>"
"53","1702","MARCILLY","Sylvie","Mme","LR",19.38,"LABICHE","David","M.",12.31,7.07,"1702","2e circonscription de la Charente-Maritime","Entre 5 et 10 %",5,"#4393c3","une augmentation de","black","Entre 2022 et 2024, le taux est passé de 12,31% à 19,38%, soit une augmentation de<span style='background: #4393c3; display: inline-block; padding: 2px; padding-bottom:0; color:black'>  7,07 points.</span>"
"54","1703","NEVEU","Frederic","M.","LR",14.9,"GIRAUD","Bertrand","M.",6.86,8.04,"1703","3e circonscription de la Charente-Maritime","Entre 5 et 10 %",5,"#4393c3","une augmentation de","black","Entre 2022 et 2024, le taux est passé de  6,86% à 14,90%, soit une augmentation de<span style='background: #4393c3; display: inline-block; padding: 2px; padding-bottom:0; color:black'>  8,04 points.</span>"
"55","1704","GIRARD","Loic","M.","LR",22.2,"DE ROFFIGNAC","Françoise","Mme",14.78,7.42,"1704","4e circonscription de la Charente-Maritime","Entre 5 et 10 %",5,"#4393c3","une augmentation de","black","Entre 2022 et 2024, le taux est passé de 14,78% à 22,20%, soit une augmentation de<span style='background: #4393c3; display: inline-block; padding: 2px; padding-bottom:0; color:black'>  7,42 points.</span>"
"56","1705","QUENTIN","Didier","M.","LR",23.78,"QUENTIN","Didier","M.",17.59,6.19,"1705","5e circonscription de la Charente-Maritime","Entre 5 et 10 %",5,"#4393c3","une augmentation de","black","Entre 2022 et 2024, le taux est passé de 17,59% à 23,78%, soit une augmentation de<span style='background: #4393c3; display: inline-block; padding: 2px; padding-bottom:0; color:black'>  6,19 points.</span>"
"57","1801","D'ORMESSON","Wladimir","M.","LR",20.68,"DALLOIS","David","M.",13.5,7.18,"1801","1ère circonscription du Cher","Entre 5 et 10 %",5,"#4393c3","une augmentation de","black","Entre 2022 et 2024, le taux est passé de 13,50% à 20,68%, soit une augmentation de<span style='background: #4393c3; display: inline-block; padding: 2px; padding-bottom:0; color:black'>  7,18 points.</span>"
"58","1802","BERTRAND","Sophie","Mme","LR",13.78,"BAERT","Adrien","M.",12.29,1.49,"1802","2e circonscription du Cher","Entre 0 et 5 %",4,"#92c5de","une augmentation de","black","Entre 2022 et 2024, le taux est passé de 12,29% à 13,78%, soit une augmentation de<span style='background: #92c5de; display: inline-block; padding: 2px; padding-bottom:0; color:black'>  1,49 points.</span>"
"59","1803","COSYNS","Louis","M.","LR",0.4,"DE CHOULOT","Bénédicte","Mme",7.77,-7.37,"1803","3e circonscription du Cher","Entre -10 et -5 %",2,"#d6604d","une baisse de ","black","Entre 2022 et 2024, le taux est passé de  7,77% à  0,40%, soit une baisse de <span style='background: #d6604d; display: inline-block; padding: 2px; padding-bottom:0; color:black'> -7,37 points.</span>"
"60","1901","BÉZIAT","Françoise","Mme","LR",15.19,"DUBOIS","Francis","M.",20.62,-5.43,"1901","1ère circonscription de la Corrèze","Entre -10 et -5 %",2,"#d6604d","une baisse de ","black","Entre 2022 et 2024, le taux est passé de 20,62% à 15,19%, soit une baisse de <span style='background: #d6604d; display: inline-block; padding: 2px; padding-bottom:0; color:black'> -5,43 points.</span>"
"61","1902","MEUNIER","Frédérique","Mme","LR",21.83,"MEUNIER","Frédérique","Mme",23.28,-1.45,"1902","2e circonscription de la Corrèze","Entre -5 et 0 %",3,"#f4a582","une baisse de ","black","Entre 2022 et 2024, le taux est passé de 23,28% à 21,83%, soit une baisse de <span style='background: #f4a582; display: inline-block; padding: 2px; padding-bottom:0; color:black'> -1,45 points.</span>"
"62","2101","ERSCHENS","Anne","Mme","LR",10.94,"DUGOURD","François-Xavier","M.",14.8,-3.86,"2101","1ère circonscription de la Côte-d'Or","Entre -5 et 0 %",3,"#f4a582","une baisse de ","black","Entre 2022 et 2024, le taux est passé de 14,80% à 10,94%, soit une baisse de <span style='background: #f4a582; display: inline-block; padding: 2px; padding-bottom:0; color:black'> -3,86 points.</span>"
"63","2102","DELATTE","Rémi","M.","LR",25.73,"HUGUET","Adrien","M.",11.43,14.3,"2102","2e circonscription de la Côte-d'Or","Plus de 10 %",6,"#053061","une augmentation de","white","Entre 2022 et 2024, le taux est passé de 11,43% à 25,73%, soit une augmentation de<span style='background: #053061; display: inline-block; padding: 2px; padding-bottom:0; color:white'> 14,30 points.</span>"
"64","2103","CARAVEL","Pascale","Mme","LR",14.68,"GRANDET","Valérie","Mme",8.41,6.27,"2103","3e circonscription de la Côte-d'Or","Entre 5 et 10 %",5,"#4393c3","une augmentation de","black","Entre 2022 et 2024, le taux est passé de  8,41% à 14,68%, soit une augmentation de<span style='background: #4393c3; display: inline-block; padding: 2px; padding-bottom:0; color:black'>  6,27 points.</span>"
"65","2104","BARRIERE","Charles","M.","LR",17.79,"BRIGAND","Hubert","M.",18.21,-0.420000000000002,"2104","4e circonscription de la Côte-d'Or","Entre -5 et 0 %",3,"#f4a582","une baisse de ","black","Entre 2022 et 2024, le taux est passé de 18,21% à 17,79%, soit une baisse de <span style='background: #f4a582; display: inline-block; padding: 2px; padding-bottom:0; color:black'> -0,42 points.</span>"
"66","2105","POULLOT","Hubert","M.","LR",24.89,"FOUGÈRE","Charlotte","Mme",13.31,11.58,"2105","5e circonscription de la Côte-d'Or","Plus de 10 %",6,"#053061","une augmentation de","white","Entre 2022 et 2024, le taux est passé de 13,31% à 24,89%, soit une augmentation de<span style='background: #053061; display: inline-block; padding: 2px; padding-bottom:0; color:white'> 11,58 points.</span>"
"67","2203","LE FUR","Marc","M.","LR",38.52,"LE FUR","Marc","M.",41.69,-3.16999999999999,"2203","3e circonscription des Côtes-d'Armor","Entre -5 et 0 %",3,"#f4a582","une baisse de ","black","Entre 2022 et 2024, le taux est passé de 41,69% à 38,52%, soit une baisse de <span style='background: #f4a582; display: inline-block; padding: 2px; padding-bottom:0; color:black'> -3,17 points.</span>"
"68","2204","TISON","Martine","Mme","LR",7.28,"PRIGENT","Jean-Paul","M.",6.8,0.48,"2204","4e circonscription des Côtes-d'Armor","Entre 0 et 5 %",4,"#92c5de","une augmentation de","black","Entre 2022 et 2024, le taux est passé de  6,80% à  7,28%, soit une augmentation de<span style='background: #92c5de; display: inline-block; padding: 2px; padding-bottom:0; color:black'>  0,48 points.</span>"
"69","2401","MOSSION","Laurent","M.","LR",13.67,"MARTY","Elisabeth","Mme",12.15,1.52,"2401","1ère circonscription de la Dordogne","Entre 0 et 5 %",4,"#92c5de","une augmentation de","black","Entre 2022 et 2024, le taux est passé de 12,15% à 13,67%, soit une augmentation de<span style='background: #92c5de; display: inline-block; padding: 2px; padding-bottom:0; color:black'>  1,52 points.</span>"
"70","2402","BLANC LAJONIE","Gaëlle","Mme","LR",13.85,"DELFOUR","Aurélien","M.",6.81,7.04,"2402","2e circonscription de la Dordogne","Entre 5 et 10 %",5,"#4393c3","une augmentation de","black","Entre 2022 et 2024, le taux est passé de  6,81% à 13,85%, soit une augmentation de<span style='background: #4393c3; display: inline-block; padding: 2px; padding-bottom:0; color:black'>  7,04 points.</span>"
"71","2403","HYVOZ","Isabelle","Mme","LR",15.07,"THOMASSON","Myriam","Mme",5.72,9.35,"2403","3e circonscription de la Dordogne","Entre 5 et 10 %",5,"#4393c3","une augmentation de","black","Entre 2022 et 2024, le taux est passé de  5,72% à 15,07%, soit une augmentation de<span style='background: #4393c3; display: inline-block; padding: 2px; padding-bottom:0; color:black'>  9,35 points.</span>"
